animals,author_of_the_announcement,balcony_loggia,compartmentalization,children,developer,floor,housing_fund,bathroom,ceiling_height,living_room,parking_spot,number_of_rooms,number_of_floors,apartment_condition,kitchen_area,living_area,total_area,building_type,price,region,is_penthouse
,Persoană fizică,,Individuală,,Poliprim Grup,4.0,Construcţii noi,1.0,,Apartament cu living,Subterană,3,10.0,Variantă albă,,,65,Combinat,62000,Chișinău_Durlești,0
,Agenție,1,Individuală,,Sky House,4.0,Construcţii noi,1.0,2.8,Apartament fără living,,2,10.0,Euroreparație,10 m²,32 m²,35,Beton celular,64000,Chișinău_Botanica,0
,Agenție,2,Individuală,,,6.0,Construcţii noi,1.0,,,,3,12.0,Variantă albă,,,69,,94146,Chișinău_Botanica,0
,Agenție,1,Individuală,,,2.0,Construcţii noi,1.0,,Apartament cu living,Deschis,3,6.0,Euroreparație,,,80,,129000,Chișinău_Botanica,0
,Agenție,,Individuală,,,4.0,Secundar,1.0,,,,1,5.0,,,,18,,32900,Chișinău_Buiucani,0
,Persoană fizică,,Individuală,,,12.0,Construcţii noi,1.0,,,,2,15.0,,,,40,,108000,Chișinău_Botanica,0
,Agenție,1,Individuală,,,7.0,Secundar,2.0,,,Deschis,3,9.0,Fără reparație,,,54,,99000,Chișinău_Botanica,0
,Agenție,Nu,102,,,2.0,Secundar,1.0,,Apartament cu living,Deschis,3,5.0,Euroreparație,,,60,,119000,Chișinău_Buiucani,0
,Persoană fizică,2,135,,,7.0,Secundar,2.0,,,,5,9.0,Are nevoie de reparație,,,82,,97000,Chișinău_Sculeni,0
,Agenție,2,135,,,1.0,Secundar,2.0,,,Deschis,3,9.0,Euroreparație,,,71,Panou,105000,Chișinău_Ciocana,0
,Agenție,1,Individuală,,Exfactor-grup,1.0,Construcţii noi,2.0,,,,4,10.0,Euroreparație,,,86,,215000,Chișinău_Centru,0
,Dezvoltator imobiliar,1,Individuală,,,1.0,Secundar,2.0,30.0,,Garaj,6,2.0,,,210 m²,160,Cotileț,37000,Florești_Centru,0
,Agenție,,Individuală,,,12.0,Construcţii noi,1.0,0.0,Apartament cu living,,3,13.0,,0 m²,0 m²,65,,180000,Chișinău_Ciocana,0
,Dezvoltator imobiliar,2,Individuală,,,3.0,Construcţii noi,1.0,2.75,Apartament cu living,Subterană,4,9.0,Variantă albă,,,84,Cărămidă,106650,Chișinău_Botanica,0
,Agenție,1,Individuală,,,9.0,Construcţii noi,1.0,,,,3,11.0,Euroreparație,,,65,,183900,Chișinău_Râșcani,0
,Persoană fizică,1,Individuală,,Inamstro,5.0,Construcţii noi,1.0,,,,2,8.0,Variantă albă,,,49,Cărămidă,172000,Chișinău_Centru,0
Se acceptă animale,Agenție,1,Individuală,,,4.0,Construcţii noi,1.0,,,Deschis,2,9.0,Variantă albă,,,44,,45423,Chișinău_Durlești,0
,Dezvoltator imobiliar,,Individuală,,,4.0,Construcţii noi,1.0,,,,2,5.0,,,,53,,67400,Chișinău_Buiucani,0
,Agenție,,Individuală,,,5.0,Secundar,1.0,,,,2,5.0,Euroreparație,,,38,Cotileț,54900,Chișinău_Buiucani,0
,Agenție,1,Individuală,,,4.0,Construcţii noi,2.0,,,,4,6.0,Variantă albă,,97 m²,97,,120000,Chișinău_Durlești,0
,Dezvoltator imobiliar,,Individuală,,,6.0,Construcţii noi,1.0,,,,3,11.0,,,,62,,119800,Chișinău_Ciocana,0
,Agenție,,Individuală,,,1.0,Secundar,1.0,,,,3,5.0,,,,44,,44900,Bălți_8 cartier,0
,Agenție,,Individuală,,,4.0,Construcţii noi,1.0,0.0,,,3,15.0,,0 m²,0 m²,79,,118900,Chișinău_Râșcani,0
,Agenție,1,Individuală,,Astercon,2.0,Construcţii noi,1.0,,,Deschis,2,10.0,Euroreparație,,,41,Cotileț,91900,Dumbrava_Centru,0
,Agenție,Nu,Individuală,,,2.0,Secundar,1.0,2.5,,Deschis,3,2.0,Euroreparație,0 m²,0 m²,60,Combinat,109999,Chișinău_Centru,0
,Agenție,,Individuală,,,7.0,Construcţii noi,1.0,,Apartament cu living,,3,9.0,Euroreparație,,,79,,142000,Chișinău_Poșta Veche,0
,Agenție,1,Individuală,,,1.0,Construcţii noi,1.0,0.0,,,2,7.0,Variantă albă,0 m²,0 m²,44,,52800,Chișinău_Durlești,0
,Agenție,1,Individuală,,,13.0,Construcţii noi,2.0,,,,3,14.0,Variantă albă,,,65,,89050,Chișinău_Râșcani,0
,Agenție,2,Individuală,,,3.0,Construcţii noi,1.0,,Apartament cu living,Deschis,3,4.0,Variantă albă,,,86,,85000,Chișinău_Buiucani,0
,Dezvoltator imobiliar,1,Individuală,,,4.0,Construcţii noi,2.0,2.9,Apartament cu living,Subterană,3,4.0,Variantă albă,28 m²,,106,,99319,Ialoveni_Centru,0
,Agenție,1,Individuală,,Lagmar Impex,2.0,Construcţii noi,1.0,0.0,Apartament cu living,Subterană,4,14.0,Euroreparație,0 m²,0 m²,75,,165000,Chișinău_Centru,0
,Agenție,,Individuală,,,9.0,Construcţii noi,1.0,,,,3,11.0,,,,70,,160000,Chișinău_Râșcani,0
,Agenție,,Individuală,,,5.0,Secundar,1.0,0.0,Apartament cu living,,3,5.0,,0 m²,0 m²,60,,119000,Chișinău_Buiucani,0
,Dezvoltator imobiliar,2,Individuală,,,3.0,Construcţii noi,1.0,2.75,Apartament cu living,Subterană,2,9.0,Variantă albă,,,49,Cărămidă,67600,Chișinău_Botanica,0
,Agenție,1,Individuală,,,2.0,Construcţii noi,1.0,,Apartament cu living,Deschis,2,7.0,Euroreparație,,,48,,97900,Chișinău_Durlești,0
,Dezvoltator imobiliar,1,143,,,2.0,Secundar,1.0,2.5,Apartament fără living,Deschis,4,5.0,Euroreparație,7 m²,65 m²,65,Cotileț,71999,Bălți_Centru,0
,Agenție,1,135,,,1.0,Secundar,1.0,,,,3,9.0,Reparație cosmetică,,,55,,86500,Chișinău_Ciocana,0
,Agenție,1,Hruşciovka,,,4.0,Secundar,1.0,2.6,,Deschis,3,5.0,Reparație cosmetică,6 m²,30 m²,46,Panou,67000,Chișinău_Botanica,0
,Agenție,1,Individuală,,,15.0,Construcţii noi,1.0,0.0,,,2,16.0,Variantă albă,0 m²,0 m²,46,,69000,Chișinău_Râșcani,0
